id,area,dynamic,sleak,gleak,gt_pf,gt_pw,gt_area,gt_t,arch0,arch1,arch2,arch3,arch4,arch5,arch6,arch7,arch8,arch9,arch10,arch11,arch12,arch13,arch14,arch15,arch16,arch17,arch18,arch19,arch20,arch21,arch22,arch23,arch24,arch25,arch26,arch27,arch28
106,0.409415,0.224071,0.0205819,0.000347605,0.930068,0.022517,1562427.551,11319.1335,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,3,1,1,1,1,0,1,0,1,0,0,0,0
107,0.409415,0.224071,0.0205819,0.000347605,0.972138,0.026484,1588859.539,10859.9553,0,0,0,0,2,0,0,2,0,0,2,2,2,2,3,2,3,1,1,1,1,0,1,0,1,0,0,0,0
108,0.409415,0.224071,0.0205819,0.000347605,0.93557,0.026484,1498727.53,11079.40305,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0
109,0.356677,0.223943,0.0196723,0.000340792,0.927581,0.026484,1488959.514,10715.61719,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0
110,0.356677,0.223943,0.0196723,0.000340792,0.890167,0.02266,1515391.51,11207.18312,0,0,0,0,2,0,0,2,0,0,2,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0
111,0.356677,0.223943,0.0196723,0.000340792,0.908133,0.026484,1479475.503,11128.4859,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0
112,0.314567,0.223862,0.0189147,0.000335395,0.915688,0.026484,1469715.504,11467.56491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0
113,0.314567,0.223862,0.0189147,0.000335395,0.930346,0.026484,1496147.519,11805.8073,0,0,0,0,2,0,0,2,0,0,2,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0
114,0.314567,0.223862,0.0189147,0.000335395,0.892135,0.02246,1530787.497,11287.13696,0,0,0,0,1,0,0,1,0,0,1,2,2,2,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0
115,0.409232,0.22407,0.0205562,0.000347276,0.905286,0.026484,1521023.55,10317.6478,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0
116,0.409232,0.22407,0.0205562,0.000347276,0.898842,0.026484,1547455.512,10190.63851,0,0,0,0,2,0,0,2,0,0,2,2,2,2,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0
117,0.409232,0.22407,0.0205562,0.000347276,0.910804,0.026484,1494823.534,11770.34313,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
118,0.356665,0.223943,0.0196714,0.000340761,0.888883,0.026484,1485055.504,11104.37948,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
119,0.356665,0.223943,0.0196714,0.000340761,0.94052,0.026484,1511487.517,11280.2827,0,0,0,0,2,0,0,2,0,0,2,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
120,0.356665,0.223943,0.0196714,0.000340761,0.921103,0.026484,1475571.532,10356.62027,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
121,0.314554,0.223862,0.0189138,0.000335364,0.932532,0.026484,1465811.519,10325.37258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
122,0.314554,0.223862,0.0189138,0.000335364,0.882001,0.026484,1492243.519,10093.97159,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
123,0.314554,0.223862,0.0189138,0.000335364,0.928277,0.026484,1526883.539,11278.02364,0,0,0,0,1,0,0,1,0,0,1,2,2,2,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
